id,code,ns,count
HUBU-HOS.CGB.BM065R-0,HUBU-HOS.CGB.BM065R,0,1.0
HUBU-HOS.CPL.BC971R-0,HUBU-HOS.CPL.BC971R,0,4.0
HUBU-HOS.CPL.BC981R-0,HUBU-HOS.CPL.BC981R,0,2.0
HUBU-HOS.CPL.BD049R-0,HUBU-HOS.CPL.BD049R,0,2.0
HUBU-HOS.CPL.BD222R-0,HUBU-HOS.CPL.BD222R,0,2.0
HUBU-HOS.CPL.BD511R-0,HUBU-HOS.CPL.BD511R,0,2.0
HUBU-HOS.CPL.BD559R-0,HUBU-HOS.CPL.BD559R,0,4.0
HUBU-HOS.CPL.BH110R-0,HUBU-HOS.CPL.BH110R,0,2.0
HUBU-HOS.CPL.BH442R-0,HUBU-HOS.CPL.BH442R,0,2.0
HUBU-HOS.CPL.BM065R-0,HUBU-HOS.CPL.BM065R,0,2.0
HUBU-HOS.CPL.DP552R-0,HUBU-HOS.CPL.DP552R,0,4.0
HUBU-HOS.CPL.FO514R-0,HUBU-HOS.CPL.FO514R,0,1.0
HUBU-HOS.CPL.HF234R-0,HUBU-HOS.CPL.HF234R,0,2.0
HUBU-HOS.CPL.OK035R-0,HUBU-HOS.CPL.OK035R,0,2.0
HUBU-HOS.CPL.OK042R-0,HUBU-HOS.CPL.OK042R,0,1.0
HUBU-HOS.CPL.OK508R-0,HUBU-HOS.CPL.OK508R,0,3.0
HUBU-HOS.CV.BC326R-0,HUBU-HOS.CV.BC326R,0,3.0
HUBU-HOS.CV.BC981R-0,HUBU-HOS.CV.BC981R,0,3.0
HUBU-HOS.CV.BD049R-0,HUBU-HOS.CV.BD049R,0,2.0
HUBU-HOS.CV.BD559R-0,HUBU-HOS.CV.BD559R,0,2.0
HUBU-HOS.CV.BH442R-0,HUBU-HOS.CV.BH442R,0,2.0
HUBU-HOS.CV.BM065R-0,HUBU-HOS.CV.BM065R,0,2.0
HUBU-HOS.CV.BN054R-0,HUBU-HOS.CV.BN054R,0,4.0
HUBU-HOS.CV.FO514R-0,HUBU-HOS.CV.FO514R,0,2.0
HUBU-HOS.DEND.AN381R-0,HUBU-HOS.DEND.AN381R,0,1.0
HUBU-HOS.DEND.BD049R-0,HUBU-HOS.DEND.BD049R,0,1.0
HUBU-HOS.DEND.BD222R-0,HUBU-HOS.DEND.BD222R,0,1.0
HUBU-HOS.DEND.BH110R-0,HUBU-HOS.DEND.BH110R,0,1.0
HUBU-HOS.DEND.BH442R-0,HUBU-HOS.DEND.BH442R,0,1.0
HUBU-HOS.DEND.BM065R-0,HUBU-HOS.DEND.BM065R,0,1.0
HUBU-HOS.DEND.OM044R-0,HUBU-HOS.DEND.OM044R,0,1.0
HUBU-HOS.DIG.AN381R-0,HUBU-HOS.DIG.AN381R,0,2.0
HUBU-HOS.DIG.BC346R-0,HUBU-HOS.DIG.BC346R,0,1.0
HUBU-HOS.DIG.BD049R-0,HUBU-HOS.DIG.BD049R,0,1.0
HUBU-HOS.DIG.BH110R-0,HUBU-HOS.DIG.BH110R,0,2.0
HUBU-HOS.DIG.BH304R-0,HUBU-HOS.DIG.BH304R,0,1.0
HUBU-HOS.DIG.BH442R-0,HUBU-HOS.DIG.BH442R,0,2.0
HUBU-HOS.DIG.BM065R-0,HUBU-HOS.DIG.BM065R,0,4.0
HUBU-HOS.DIG.OM044R-0,HUBU-HOS.DIG.OM044R,0,2.0
HUBU-HOS.DOM.BC316R-0,HUBU-HOS.DOM.BC316R,0,1.0
HUBU-HOS.DOM.BD049R-0,HUBU-HOS.DOM.BD049R,0,2.0
HUBU-HOS.DOM.BD222R-0,HUBU-HOS.DOM.BD222R,0,1.0
HUBU-HOS.DOM.BD559R-0,HUBU-HOS.DOM.BD559R,0,2.0
HUBU-HOS.DOM.BH442R-0,HUBU-HOS.DOM.BH442R,0,1.0
HUBU-HOS.GINE.BC328R-0,HUBU-HOS.GINE.BC328R,0,1.0
HUBU-HOS.GINE.BC346R-0,HUBU-HOS.GINE.BC346R,0,1.0
HUBU-HOS.GINE.BD047R-0,HUBU-HOS.GINE.BD047R,0,2.0
HUBU-HOS.GINE.BD051R-0,HUBU-HOS.GINE.BD051R,0,1.0
HUBU-HOS.GINE.BD557R-0,HUBU-HOS.GINE.BD557R,0,2.0
HUBU-HOS.GINE.BD561R-0,HUBU-HOS.GINE.BD561R,0,1.0
HUBU-HOS.GINE.BF040R-0,HUBU-HOS.GINE.BF040R,0,1.0
HUBU-HOS.GINE.BH424R-0,HUBU-HOS.GINE.BH424R,0,1.0
HUBU-HOS.GINE.BH447R-0,HUBU-HOS.GINE.BH447R,0,2.0
HUBU-HOS.GINE.BH646R-0,HUBU-HOS.GINE.BH646R,0,2.0
HUBU-HOS.GINE.BN004R-0,HUBU-HOS.GINE.BN004R,0,1.0
HUBU-HOS.GINE.BN114R-0,HUBU-HOS.GINE.BN114R,0,1.0
HUBU-HOS.GINE.EL040R-0,HUBU-HOS.GINE.EL040R,0,1.0
HUBU-HOS.GINE.EL041R-0,HUBU-HOS.GINE.EL041R,0,1.0
HUBU-HOS.GINE.EL043R-0,HUBU-HOS.GINE.EL043R,0,1.0
HUBU-HOS.GINE.EL044R-0,HUBU-HOS.GINE.EL044R,0,1.0
HUBU-HOS.GINE.EO015R-0,HUBU-HOS.GINE.EO015R,0,1.0
HUBU-HOS.GINE.EO110R-0,HUBU-HOS.GINE.EO110R,0,1.0
HUBU-HOS.GINE.ER220R-0,HUBU-HOS.GINE.ER220R,0,1.0
HUBU-HOS.HDHM.BC346R-0,HUBU-HOS.HDHM.BC346R,0,1.0
HUBU-HOS.HDHM.BD049R-0,HUBU-HOS.HDHM.BD049R,0,2.0
HUBU-HOS.HDHM.BD559R-0,HUBU-HOS.HDHM.BD559R,0,2.0
HUBU-HOS.HDON.AN381R-0,HUBU-HOS.HDON.AN381R,0,1.0
HUBU-HOS.HDON.BC316R-0,HUBU-HOS.HDON.BC316R,0,2.0
HUBU-HOS.HDON.BC346R-0,HUBU-HOS.HDON.BC346R,0,1.0
HUBU-HOS.HDON.BD049R-0,HUBU-HOS.HDON.BD049R,0,2.0
HUBU-HOS.HDON.BD222R-0,HUBU-HOS.HDON.BD222R,0,2.0
HUBU-HOS.HDON.BH442R-0,HUBU-HOS.HDON.BH442R,0,2.0
HUBU-HOS.HDQI.BD049R-0,HUBU-HOS.HDQI.BD049R,0,2.0
HUBU-HOS.HDQI.BD222R-0,HUBU-HOS.HDQI.BD222R,0,1.0
HUBU-HOS.HDQI.BD511R-0,HUBU-HOS.HDQI.BD511R,0,1.0
HUBU-HOS.HDQI.BD559R-0,HUBU-HOS.HDQI.BD559R,0,1.0
HUBU-HOS.HDQI.BH110R-0,HUBU-HOS.HDQI.BH110R,0,1.0
HUBU-HOS.HDQI.BH111R-0,HUBU-HOS.HDQI.BH111R,0,2.0
HUBU-HOS.HDQI.BM065R-0,HUBU-HOS.HDQI.BM065R,0,1.0
HUBU-HOS.HEMT.BC346R-0,HUBU-HOS.HEMT.BC346R,0,1.0
HUBU-HOS.HEMT.BD049R-0,HUBU-HOS.HEMT.BD049R,0,2.0
HUBU-HOS.HEMT.BH442R-0,HUBU-HOS.HEMT.BH442R,0,1.0
HUBU-HOS.HEMT.BM065R-0,HUBU-HOS.HEMT.BM065R,0,1.0
HUBU-HOS.HMDL.BC346R-0,HUBU-HOS.HMDL.BC346R,0,1.0
HUBU-HOS.HMDL.BC606R-0,HUBU-HOS.HMDL.BC606R,0,1.0
HUBU-HOS.HMDL.BM065R-0,HUBU-HOS.HMDL.BM065R,0,1.0
HUBU-HOS.MI.BC346R-0,HUBU-HOS.MI.BC346R,0,1.0
HUBU-HOS.MI.BD049R-0,HUBU-HOS.MI.BD049R,0,2.0
HUBU-HOS.MI.BD559R-0,HUBU-HOS.MI.BD559R,0,2.0
