0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,bm,bpm,timestamp-diff
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b8601,10 days 23:54:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4224,b37146,0 days 21:06:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b37108,27 days 21:46:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b10288,4 days 21:02:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b10302,4 days 19:46:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b10572,b10079,1 days 02:16:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b10304,4 days 19:39:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b46681,5 days 00:13:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b6953,17 days 18:01:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.HARM-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b9027,b6565,8 days 07:06:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b6562,18 days 04:57:00
