,e.Usuario,e.timestamp,e.Activity,e.KitID,e.NS,e.Código,r.CaseID
98,ER,2022-03-27 10:55:00+00:00,Cargado en carro L+D,HNB-GIN.014-4,4,HNB-GIN.014,HNB-GIN.014-4-CN33867
99,ER,2022-03-27 13:49:00+00:00,Producción montada,HNB-GIN.014-4,4,HNB-GIN.014,HNB-GIN.014-4-CN33867
100,ER,2022-03-27 10:52:00+00:00,Entrada Material Sucio,HNB-GIN.014-4,4,HNB-GIN.014,HNB-GIN.014-4-CN33867
101,ER,2022-03-27 09:26:00+00:00,Montaje,HNB-GIN.014-8,8,HNB-GIN.014,HNB-GIN.014-8-CN33850
102,ER,2022-03-27 08:07:00+00:00,Cargado en carro L+D,HNB-GIN.014-8,8,HNB-GIN.014,HNB-GIN.014-8-CN33850
103,ER,2022-03-27 11:35:00+00:00,Carga de esterilizador liberada,HNB-GIN.014-8,8,HNB-GIN.014,HNB-GIN.014-8-CN33850
104,ER,2022-03-27 09:52:00+00:00,Composición de cargas,HNB-GIN.014-8,8,HNB-GIN.014,HNB-GIN.014-8-CN33850
105,ER,2022-03-27 08:13:00+00:00,Carga L+D iniciada,HNB-GIN.014-8,8,HNB-GIN.014,HNB-GIN.014-8-CN33850
106,ER,2022-03-27 07:48:00+00:00,Entrada Material Sucio,HNB-GIN.014-8,8,HNB-GIN.014,HNB-GIN.014-8-CN33850
107,ER,2022-03-27 09:26:00+00:00,Producción montada,HNB-GIN.014-8,8,HNB-GIN.014,HNB-GIN.014-8-CN33850
108,ER,2022-03-27 09:12:00+00:00,Carga L+D liberada,HNB-GIN.014-8,8,HNB-GIN.014,HNB-GIN.014-8-CN33850
109,ER,2022-03-27 11:35:00+00:00,Carga de esterilizador liberada,HNB-GIN.014-2,2,HNB-GIN.014,HNB-GIN.014-2-CN33851
110,ER,2022-03-27 09:52:00+00:00,Composición de cargas,HNB-GIN.014-2,2,HNB-GIN.014,HNB-GIN.014-2-CN33851
111,ER,2022-03-27 09:12:00+00:00,Carga L+D liberada,HNB-GIN.014-2,2,HNB-GIN.014,HNB-GIN.014-2-CN33851
112,ER,2022-03-27 09:23:00+00:00,Producción montada,HNB-GIN.014-2,2,HNB-GIN.014,HNB-GIN.014-2-CN33851
113,ER,2022-03-27 09:23:00+00:00,Montaje,HNB-GIN.014-2,2,HNB-GIN.014,HNB-GIN.014-2-CN33851
114,ER,2022-03-27 08:13:00+00:00,Carga L+D iniciada,HNB-GIN.014-2,2,HNB-GIN.014,HNB-GIN.014-2-CN33851
115,ER,2022-03-27 07:48:00+00:00,Entrada Material Sucio,HNB-GIN.014-2,2,HNB-GIN.014,HNB-GIN.014-2-CN33851
116,ER,2022-03-27 08:07:00+00:00,Cargado en carro L+D,HNB-GIN.014-2,2,HNB-GIN.014,HNB-GIN.014-2-CN33851
117,ER,2022-03-27 09:52:00+00:00,Composición de cargas,HNB-URO.003-2,2,HNB-URO.003,HNB-URO.003-2-CN33852
118,ER,2022-03-27 07:48:00+00:00,Entrada Material Sucio,HNB-URO.003-2,2,HNB-URO.003,HNB-URO.003-2-CN33852
119,ER,2022-03-27 09:12:00+00:00,Carga L+D liberada,HNB-URO.003-2,2,HNB-URO.003,HNB-URO.003-2-CN33852
120,ER,2022-03-27 08:06:00+00:00,Cargado en carro L+D,HNB-URO.003-2,2,HNB-URO.003,HNB-URO.003-2-CN33852
121,ER,2022-03-27 09:41:00+00:00,Montaje,HNB-URO.003-2,2,HNB-URO.003,HNB-URO.003-2-CN33852
122,ER,2022-03-27 11:35:00+00:00,Carga de esterilizador liberada,HNB-URO.003-2,2,HNB-URO.003,HNB-URO.003-2-CN33852
123,ER,2022-03-27 09:49:00+00:00,Producción montada,HNB-URO.003-2,2,HNB-URO.003,HNB-URO.003-2-CN33852
124,ER,2022-03-27 08:13:00+00:00,Carga L+D iniciada,HNB-URO.003-2,2,HNB-URO.003,HNB-URO.003-2-CN33852
125,ER,2022-03-27 07:48:00+00:00,Entrada Material Sucio,HNB-URO.010-2,2,HNB-URO.010,HNB-URO.010-2-CN33853
126,ER,2022-03-27 11:35:00+00:00,Carga de esterilizador liberada,HNB-URO.010-2,2,HNB-URO.010,HNB-URO.010-2-CN33853
127,ER,2022-03-27 09:52:00+00:00,Composición de cargas,HNB-URO.010-2,2,HNB-URO.010,HNB-URO.010-2-CN33853
128,ER,2022-03-27 09:12:00+00:00,Carga L+D liberada,HNB-URO.010-2,2,HNB-URO.010,HNB-URO.010-2-CN33853
129,ER,2022-03-27 08:06:00+00:00,Cargado en carro L+D,HNB-URO.010-2,2,HNB-URO.010,HNB-URO.010-2-CN33853
130,ER,2022-03-27 08:13:00+00:00,Carga L+D iniciada,HNB-URO.010-2,2,HNB-URO.010,HNB-URO.010-2-CN33853
