r.KitID,r.DurationBetweenSterilizations,r.CycleNumber,DurationDifference
CONT-ELECT-2,1,1,1.0
CONT-QUI.TRA-1,31,1,-1277.0
HGY-QUI.TRA.CAJA-0,0,1,-39.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
CONT-QUI.TRA-1,109,1,78.0
CONT-QUI.TRA-1,65,1,-44.0
CONT-QUI.CPL-2,968,1,694.0
CONT-UCSI-1,1433,1,1425.0
CONT-QUI.TRA-2,1229,1,1111.0
CONT-CIST-1,10,1,-50.0
CONT-HOS.UCIA-4,1,1,-1414.0
CONT-QUI.TRA-1,1309,1,1244.0
CONT-QUI.ORL-3,134,1,-1066.0
CONT-QUI.OFT-1,1310,1,2.0
CONT-QUI.OFT-2,66,1,-18.0
CONT-QUI.CV-5,153,1,44.0
CONT-QUI.URO-2,94,1,-1303.0
CONT-QUI.CP-3,12,1,
CONT-QUI.OFT-1,114,1,-1196.0
CONT-PARTOS-3,14,1,
CONT-URGENCIAS-2,2,1,-363.0
CONT-HOS.UCIA-2,1439,1,27.0
CONT-QUI.CV-3,1430,1,96.0
CONT-HOS.DOM-1,5,1,
CONT-HOS.URPA-1,16,1,-1420.0
CONT-ELECT-2,17,1,16.0
CONT-QUI.TRA-2,241,1,-988.0
CONT-QUI.OFT-1,182,1,68.0
CONT-QUI.OFT-2,159,1,93.0
CONT-QUI.CG-2,753,1,692.0
EQP-CCEE.GIN.003-3,1167,1,-269.0
CONT-HOS.CARD-1,1428,1,1412.0
CONT-QUI.TRA-1,1213,1,-96.0
CONT-PARTOS-2,352,1,347.0
CONT-QUI.GINE-1,1430,1,1267.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,1,1,1.0
CONT-HOS.UCIP-1,1431,1,2.0
CONT-QUI.TRA-3,1114,1,
CONT-QUI.NEUR-2,125,1,-174.0
CONT-QUI.CG-2,1169,1,416.0
CONT-QUI.CV-3,178,1,-1252.0
CONT-QUI.URO-2,1359,1,1265.0
CONT-QUI.TRA-1,146,1,-1067.0
CONT-QUI.CPL-4,1195,1,-129.0
CONT-QUI.CG-2,82,1,-1087.0
CONT-QUI.OFT-1,84,1,-98.0
CONT-QUI.CPL-2,106,1,-862.0
EQP-DAVINCI.004-2,1,1,
CONT-QUI.OFT-2,1380,1,1221.0
CONT-HOS.UCIC-1,1426,1,1390.0
CONT-HOS.CPL-2,198,1,
CONT-HOS.CP-1,177,1,
CONT-HOS.UCIA-4,23,1,22.0
CONT-QUI.CPL-2,1201,1,1095.0
CONT-QUI.TRA-1,1391,1,1245.0
EQP-QUI.GINE.008-1,3,1,
EQP-QUI.GINE.006-2,4,1,
EQP-QUI.GINE.005-3,4,1,3.0
EQP-CCEE.GIN.005-3,4,1,
EQP-CCEE.GIN.005-2,4,1,
EQP-CCEE.GIN.003-1,1,1,-1426.0
CONT-RAD-1,1,1,
